Measurement,,Time,Potential,Current,Charge,CR,ReadingStatus
Chronoamperometry,0,0.0,0.0,-24.647288,0.0,10mA,Underload
Chronoamperometry,1,5.0,0.0,-22.751344,-118.49658,10mA,Underload
Chronoamperometry,2,10.0,0.0,-21.803369999999997,-229.88336499999997,10mA,Underload
Chronoamperometry,3,15.0,0.0,-21.518978,-338.18923499999994,1mA,Underload
Chronoamperometry,4,20.0,0.0,-20.7606,-443.8881799999999,1mA,Underload
Chronoamperometry,5,25.0,0.0,-20.002222,-545.7952349999999,1mA,Underload
Chronoamperometry,6,30.0,0.0,-18.713662,-642.584945,100uA,OK
Chronoamperometry,7,35.0,0.0,-17.379656,-732.81824,100uA,OK
Chronoamperometry,8,40.0,0.0,-15.265913999999999,-814.4321649999999,100uA,OK
Chronoamperometry,9,45.0,0.0,-9.610479999999999,-876.6231499999999,100uA,Underload
Chronoamperometry,10,50.0,0.0,11.019641,-873.1002474999999,100uA,Underload
Chronoamperometry,11,55.0,0.0,10.549921,-819.1763424999999,100uA,Underload
Chronoamperometry,12,60.0,0.0,10.572467,-766.3703724999999,10uA,OK
Chronoamperometry,13,65.0,0.0,10.669229999999999,-713.26613,10uA,OK
Chronoamperometry,14,70.0,0.0,10.729353999999999,-659.76967,10uA,OK
Chronoamperometry,15,75.0,0.0,10.889059,-605.7236375,10uA,OK
Chronoamperometry,16,80.0,0.0,10.998033999999999,-551.005905,10uA,OK
Chronoamperometry,17,85.0,0.0,11.099494,-495.762085,10uA,OK
Chronoamperometry,18,90.0,0.0,11.187801,-440.0438475,10uA,OK
Chronoamperometry,19,95.0,0.0,11.259198999999999,-383.9263475,10uA,OK
Chronoamperometry,20,100.0,0.0,11.299593999999999,-327.52936500000004,10uA,OK
Chronoamperometry,21,105.0,0.0,11.461179,-270.62743250000005,10uA,OK
Chronoamperometry,22,110.0,0.0,11.589882,-212.99978000000004,10uA,OK
Chronoamperometry,23,115.0,0.0,11.675371,-154.83664750000003,10uA,OK
Chronoamperometry,24,120.0,0.0,11.681947,-96.44335250000003,10uA,OK
Chronoamperometry,25,125.0,0.0,11.842592,-37.632005000000035,10uA,OK
Chronoamperometry,26,130.0,0.0,12.143212,22.33250499999997,10uA,OK
Chronoamperometry,27,135.0,0.0,12.757607,84.58455249999997,10uA,OK
Chronoamperometry,28,140.0,0.0,12.954889999999999,148.86579499999996,10uA,OK
Chronoamperometry,29,145.0,0.0,12.968041,213.67312249999998,10uA,OK
Chronoamperometry,30,150.0,0.0,13.235781999999999,279.18268,10uA,OK
Chronoamperometry,31,155.0,0.0,13.223569,345.3310575,10uA,OK
Chronoamperometry,32,160.0,0.0,13.358849,411.78710249999995,10uA,OK
Chronoamperometry,33,165.0,0.0,13.316574,478.47565999999995,10uA,OK
Chronoamperometry,34,170.0,0.0,13.228266999999999,544.8377624999999,10uA,OK
Chronoamperometry,35,175.0,0.0,13.544858,611.7705749999999,10uA,OK
Chronoamperometry,36,180.0,0.0,13.579616999999999,679.5817624999999,10uA,OK
Chronoamperometry,37,185.0,0.0,13.62565,747.5949299999999,10uA,OK
Chronoamperometry,38,190.0,0.0,13.705503,815.9228124999998,10uA,OK
Chronoamperometry,39,195.0,0.0,13.569282999999999,884.1097774999998,10uA,OK
Chronoamperometry,40,200.0,0.0,13.891511999999999,952.7617649999999,10uA,OK
Chronoamperometry,41,205.0,0.0,13.999547999999999,1022.4894149999998,10uA,OK
Chronoamperometry,42,210.0,0.0,13.956332999999999,1092.3791174999997,10uA,OK
Chronoamperometry,43,215.0,0.0,13.919694999999999,1162.0691874999998,10uA,OK
Chronoamperometry,44,220.0,0.0,14.023033999999999,1231.9260099999997,10uA,OK
Chronoamperometry,45,225.0,0.0,14.027731,1302.0529224999996,10uA,OK
Chronoamperometry,46,230.0,0.0,14.141402999999999,1372.4757574999996,10uA,OK
Chronoamperometry,47,235.0,0.0,14.096309999999999,1443.0700399999996,10uA,OK
Chronoamperometry,48,240.0,0.0,14.123553999999999,1513.6196999999995,10uA,OK
Chronoamperometry,49,245.0,0.0,14.176162999999999,1584.3689924999994,10uA,OK
Chronoamperometry,50,250.0,0.0,14.209982,1655.3343549999995,10uA,OK
Chronoamperometry,51,255.0,0.0,14.242861999999999,1726.4664649999995,10uA,OK
